id	send_uid	recv_uid	cp_num	cp_cycle_day	created	updated
2152	12467326	12467547	39	2019-12-19	2019-12-20 23:24:27	2019-12-20 23:24:27
2154	10003	12466744	39	2019-12-19	2019-12-20 23:36:30	2019-12-20 23:36:30
2155	12467238	12467326	336	2019-12-19	2019-12-20 23:47:51	2019-12-22 21:29:48
2156	12323748	12467989	1098	2019-12-19	2019-12-21 00:03:37	2019-12-21 18:00:47
2157	12446529	12459932	99	2019-12-19	2019-12-21 00:22:07	2019-12-21 00:22:07
2158	12394063	12459932	99	2019-12-19	2019-12-21 00:25:29	2019-12-21 00:25:29
2159	12394063	12460186	99	2019-12-19	2019-12-21 00:26:48	2019-12-21 00:26:48
2160	12459932	12464392	99	2019-12-19	2019-12-21 00:28:24	2019-12-21 00:28:24
2161	12294832	12463823	39	2019-12-19	2019-12-21 00:30:04	2019-12-21 00:30:04
2164	12411407	12467326	216	2019-12-19	2019-12-21 00:33:34	2019-12-21 21:32:33
2166	12467326	12467672	513	2019-12-19	2019-12-21 00:33:40	2019-12-24 17:19:13
2167	12467326	12467778	513	2019-12-19	2019-12-21 00:33:51	2019-12-24 14:25:27
2173	12401226	12403420	99	2019-12-19	2019-12-21 00:39:06	2019-12-21 00:39:06
2174	12401226	12459929	198	2019-12-19	2019-12-21 00:39:13	2019-12-21 00:39:23
2178	12357373	12401226	99	2019-12-19	2019-12-21 00:39:53	2019-12-21 00:39:53
2183	12366771	12466153	2568	2019-12-19	2019-12-21 01:01:12	2019-12-25 18:15:59
2184	12352423	12466153	411	2019-12-19	2019-12-21 01:01:12	2019-12-24 15:58:26
2185	12466153	12467944	99	2019-12-19	2019-12-21 01:01:12	2019-12-21 01:01:12
2186	12466071	12466153	138	2019-12-19	2019-12-21 01:02:08	2019-12-23 00:59:53
2190	12458118	12466153	1332	2019-12-19	2019-12-21 01:06:36	2019-12-25 03:34:43
2192	12387977	12466153	1098	2019-12-19	2019-12-21 01:20:12	2019-12-24 05:18:38
2193	12352301	12460186	138	2019-12-19	2019-12-21 01:29:15	2019-12-21 18:00:59
2194	12332423	12464392	99	2019-12-19	2019-12-21 01:46:07	2019-12-21 01:46:07
2195	12463823	12467592	177	2019-12-19	2019-12-21 01:57:15	2019-12-25 14:43:02
2196	12467592	12468062	2196	2019-12-19	2019-12-21 02:26:01	2019-12-21 14:12:24
2198	12460186	12467160	276	2019-12-19	2019-12-21 04:36:16	2019-12-22 19:54:58
2199	12463823	12467992	39	2019-12-19	2019-12-21 04:36:41	2019-12-21 04:36:41
2200	12463823	12467055	39	2019-12-19	2019-12-21 04:36:41	2019-12-21 04:36:41
2201	12467160	12468016	99	2019-12-19	2019-12-21 04:36:52	2019-12-21 04:36:52
2203	12466153	12466331	99	2019-12-19	2019-12-21 04:56:42	2019-12-21 04:56:42
2206	12466153	12467812	99	2019-12-19	2019-12-21 04:56:42	2019-12-21 04:56:42
2207	12461399	12466153	138	2019-12-19	2019-12-21 05:02:42	2019-12-24 21:02:00
2210	12461399	12467812	99	2019-12-19	2019-12-21 05:10:21	2019-12-21 05:10:21
2211	12459458	12461399	198	2019-12-19	2019-12-21 05:10:21	2019-12-23 18:20:37
2212	12424850	12461399	99	2019-12-19	2019-12-21 05:10:21	2019-12-21 05:10:21
2213	12402258	12461399	198	2019-12-19	2019-12-21 05:10:21	2019-12-21 19:28:22
2214	12399736	12461399	1098	2019-12-19	2019-12-21 05:10:21	2019-12-23 20:47:01
2216	12394063	12466153	216	2019-12-19	2019-12-21 05:24:58	2019-12-25 13:16:13
2218	12464502	12466153	78	2019-12-19	2019-12-21 05:40:31	2019-12-25 04:01:08
2219	12275930	12466153	39	2019-12-19	2019-12-21 05:40:31	2019-12-21 05:40:31
2220	12459357	12466153	39	2019-12-19	2019-12-21 05:40:31	2019-12-21 05:40:31
2221	12458825	12466153	78	2019-12-19	2019-12-21 05:40:31	2019-12-25 04:01:08
2222	12466078	12466153	39	2019-12-19	2019-12-21 05:40:31	2019-12-21 05:40:31
2223	12463993	12466153	273	2019-12-19	2019-12-21 05:40:31	2019-12-25 18:25:24
2225	12420472	12428032	39	2019-12-19	2019-12-21 05:52:00	2019-12-21 05:52:00
2226	12420472	12463773	39	2019-12-19	2019-12-21 06:01:22	2019-12-21 06:01:22
2227	12418201	12467326	39	2019-12-19	2019-12-21 07:20:44	2019-12-21 07:20:44
2228	12398975	12461399	99	2019-12-19	2019-12-21 08:28:00	2019-12-21 08:28:00
2229	12417947	12461399	198	2019-12-19	2019-12-21 09:07:56	2019-12-21 09:33:53
2231	12454946	12461399	99	2019-12-19	2019-12-21 09:59:29	2019-12-21 09:59:29
2232	12463823	12467078	39	2019-12-19	2019-12-21 11:28:15	2019-12-21 11:28:15
2233	12463823	12466787	39	2019-12-19	2019-12-21 11:33:01	2019-12-21 11:33:01
2236	12385060	12467214	999	2019-12-19	2019-12-21 12:18:26	2019-12-21 12:18:26
2237	12385060	12460311	39	2019-12-19	2019-12-21 12:21:52	2019-12-21 12:21:52
2240	12389631	12400530	99	2019-12-19	2019-12-21 14:25:18	2019-12-21 14:25:18
2241	12397755	12467592	276	2019-12-19	2019-12-21 14:30:23	2019-12-21 14:32:52
2242	12397755	12468167	78	2019-12-19	2019-12-21 14:30:23	2019-12-21 14:30:25
2243	12394486	12397755	78	2019-12-19	2019-12-21 14:30:23	2019-12-21 14:30:25
2249	12397755	12468162	99	2019-12-19	2019-12-21 15:03:25	2019-12-21 15:03:25
2250	12099947	12397755	99	2019-12-19	2019-12-21 16:25:59	2019-12-21 16:25:59
2251	12467326	12467422	198	2019-12-19	2019-12-21 16:28:18	2019-12-22 21:29:48
2257	12397755	12402258	39	2019-12-19	2019-12-21 16:39:51	2019-12-21 16:39:51
2258	12451643	12467326	39	2019-12-19	2019-12-21 16:41:39	2019-12-21 16:41:39
